Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Contender Park City,Contender Salt Lake City,Contender Warehouse
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Ready To Paint,Size,S,,,210000108579,,,0,0,1
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Ready To Paint,Size,XS,,,210000109502,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Orange,Size,XL,,,210000106281,,,0,1,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Grey Gloss/Matte,Size,XS,,,210000103439,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Ready To Paint,Size,M,,,210000104383,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Cobalt,Size,XL,,,210000134582,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Cobalt,Size,L,,,210000134581,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Cobalt,Size,M,,,210000134580,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Cobalt,Size,S,,,210000134579,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Amber,Size,XL,,,210000134597,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Amber,Size,L,,,210000134590,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Amber,Size,M,,,210000134589,,,0,1,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Amber,Size,S,,,210000134595,,,0,1,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Carbon,Size,XL,,,210000134591,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Carbon,Size,L,,,210000134592,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Carbon,Size,M,,,210000134593,,,0,0,0
time-alpe-dhuez-x-adhx-bike-builder,TIME Alpe D'Huez X (ADHX) Bike Builder,Color,Carbon,Size,S,,,210000134594,,,0,0,0
